what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1327636884500
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1327636884606
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1327636884720
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1327636885047
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1327636885066
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1327636885087
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1327636885273
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1327636885303
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1327636885360
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1327636885443
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1327636885530
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1327636885595
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1327636885610
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1327636885644
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1327636885673
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1327636885687
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1327636885762
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1327636885781
started,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1327636885803
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1327636885803
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1327636885881
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1327636885908
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1327636885923
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1327636885923
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1327636885943
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1327636885962
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1327636885979
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1327636885993
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1327636886041
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1327636886059
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1327636886181
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1327636886231
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1327636886384
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1327636886404
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1327636886424
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1327636886464
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1327636886482
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1327636886482
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1327636886501
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1327636886528
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1327636886708
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1327636886731
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1327636886784
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1327636886869
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1327636886914
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1327636887257
os,sysinfo,,,"win32",1327636887282
arch,sysinfo,,,"x86_64",1327636887282
ws,sysinfo,,,"win32",1327636887282
locale,sysinfo,,,"en_US",1327636887282
processors,sysinfo,,,"2",1327636887285
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1327636887285
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1327636887285
java.specification.name,sysinfo,,,"Java Platform API Specification",1327636887285
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1327636887285
java.specification.version,sysinfo,,,"1.6",1327636887285
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1327636887285
java.version,sysinfo,,,"1.6.0_29",1327636887285
java.vm.info,sysinfo,,,"mixed mode",1327636887285
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1327636887285
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1327636887285
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1327636887285
java.vm.specification.version,sysinfo,,,"1.0",1327636887285
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1327636887285
java.vm.version,sysinfo,,,"20.4-b02",1327636887285
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1327636888835
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1327636894330
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1327636894601
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1327636894905
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1327636894944
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1327636895221
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1327636895961
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327636899644
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327636899941
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1327636900454
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1327636911721
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1327636911906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327636923025
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1327636948823
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1327636950237
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1327636950802
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1327636952357
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1327636952611
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1327636952812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327636955800
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327636970146
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1327636992657
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1327636997646
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1327636999466
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637006793
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1327637008018
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1327637014195
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1327637015094
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1327637015751
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327637016069
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327637017414
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637034718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637056068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637086518
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637195614
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327637198696
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1327637200704
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1327637320064
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637326610
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637328435
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637359454
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637372049
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327637374663
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637376637
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637400650
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327637401076
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637429369
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637434731
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637437502
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637437895
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327637438260
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637453673
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637474471
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637476034
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637478517
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637512418
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637512763
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637515106
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637518127
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637595118
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637629164
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637692869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637694654
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327637696764
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637698593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637706925
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637716025
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637717441
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637722831
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637722979
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637723171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637725211
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327637727043
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1327637732006
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1327637735789
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1327637735905
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1327637736005
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1327637736040
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1327637736144
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1327637736170
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1327637736209
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1327637736209
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1327637736228
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1327637736245
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1327637736265
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1327637736266
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1327637736286
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1327637736286
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1327637736286
stopped,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1327637736286
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1327637736360
stopped,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1327637736381
stopped,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1327637736381
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1327637736403
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1327637736439
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1327637736480
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1327637736546
stopped,bundle,org.eclipse.egit.mylyn.ui,1.1.0.201109151100-r,"org.eclipse.egit.mylyn.ui",1327637736587
stopped,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1327637736587
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1327637736608
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1327637736640
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1327637736640
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1327637736641
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1327637736666
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1327637736666
stopped,bundle,org.eclipse.wb.swing.databinding,1.1.0.r37x201109091143,"org.eclipse.wb.swing.databinding",1327637736811
stopped,bundle,org.eclipse.wb.core.databinding,1.1.0.r37x201109091012,"org.eclipse.wb.core.databinding",1327637736913
stopped,bundle,org.eclipse.wb.swing.FormLayout,1.1.0.r37x201109091143,"org.eclipse.wb.swing.FormLayout",1327637737227
stopped,bundle,org.eclipse.wb.swing.MigLayout,1.1.0.r37x201109091143,"org.eclipse.wb.swing.MigLayout",1327637737485
